,source,reporting_date,date,country_iso,region_code,region_code_native,lat,long,gender,age,type,value
0,Switzerland,,2020-03-06,che,AG,Aargau,47.449406,8.327494999999999,,,hospitalized_with_symptoms,
1,Switzerland,,2020-03-06,che,AI,Appenzell Innerrhoden,47.328414,9.409647,,,hospitalized_with_symptoms,
2,Switzerland,,2020-03-06,che,AR,Appenzell Ausserrhoden,47.38271,9.27186,,,hospitalized_with_symptoms,
3,Switzerland,,2020-03-06,che,BE,Bern,46.916667,7.466667,,,hospitalized_with_symptoms,
4,Switzerland,,2020-03-06,che,BL,Baselland,47.482779,7.742975,,,hospitalized_with_symptoms,
5,Switzerland,,2020-03-06,che,BS,Basel-Stadt,47.558395,7.573271000000001,,,hospitalized_with_symptoms,
6,Switzerland,,2020-03-06,che,FR,Fribourg,46.718391,7.074008,,,hospitalized_with_symptoms,
7,Switzerland,,2020-03-06,che,GE,Genève,46.195602,6.148113,,,hospitalized_with_symptoms,
8,Switzerland,,2020-03-06,che,GL,Glarus,47.04057,9.068036,,,hospitalized_with_symptoms,
9,Switzerland,,2020-03-06,che,GR,Graubünden,46.796756,10.305946,,,hospitalized_with_symptoms,
10,Switzerland,,2020-03-06,che,JU,Jura,47.350744,7.156107,,,hospitalized_with_symptoms,
11,Switzerland,,2020-03-06,che,LU,Luzern,47.083333,8.266667,,,hospitalized_with_symptoms,
12,Switzerland,,2020-03-06,che,NE,Neuchatel,46.995534,6.780125999999999,,,hospitalized_with_symptoms,
13,Switzerland,,2020-03-06,che,NW,Nidwalden,46.95805,8.36609,,,hospitalized_with_symptoms,
14,Switzerland,,2020-03-06,che,OW,Obwalden,46.898509,8.250681,,,hospitalized_with_symptoms,
15,Switzerland,,2020-03-06,che,SG,St.Gallen,47.43162,9.39845,,,hospitalized_with_symptoms,
16,Switzerland,,2020-03-06,che,SH,Schaffhausen,47.71357,8.59167,,,hospitalized_with_symptoms,
17,Switzerland,,2020-03-06,che,SO,Solothurn,47.206649,7.516605,,,hospitalized_with_symptoms,
18,Switzerland,,2020-03-06,che,SZ,Schwyz,47.061787,8.756585000000001,,,hospitalized_with_symptoms,
19,Switzerland,,2020-03-06,che,TG,Thurgau,47.55993,8.8998,,,hospitalized_with_symptoms,
20,Switzerland,,2020-03-06,che,TI,Ticino,46.009279,8.955575999999997,,,hospitalized_with_symptoms,
21,Switzerland,,2020-03-06,che,UR,Uri,46.880422,8.644409,,,hospitalized_with_symptoms,
22,Switzerland,,2020-03-06,che,VD,Vaud,46.5369,6.58478,,,hospitalized_with_symptoms,
23,Switzerland,,2020-03-06,che,VS,Valais,46.209567,7.604659,,,hospitalized_with_symptoms,
24,Switzerland,,2020-03-06,che,ZG,Zug,47.157296,8.537294000000001,,,hospitalized_with_symptoms,
25,Switzerland,,2020-03-06,che,ZH,Zürich,47.451542,8.564572,,,hospitalized_with_symptoms,
26,Switzerland,,2020-03-07,che,AG,Aargau,47.449406,8.327494999999999,,,hospitalized_with_symptoms,
27,Switzerland,,2020-03-07,che,AI,Appenzell Innerrhoden,47.328414,9.409647,,,hospitalized_with_symptoms,
28,Switzerland,,2020-03-07,che,AR,Appenzell Ausserrhoden,47.38271,9.27186,,,hospitalized_with_symptoms,
29,Switzerland,,2020-03-07,che,BE,Bern,46.916667,7.466667,,,hospitalized_with_symptoms,
30,Switzerland,,2020-03-07,che,BL,Baselland,47.482779,7.742975,,,hospitalized_with_symptoms,
31,Switzerland,,2020-03-07,che,BS,Basel-Stadt,47.558395,7.573271000000001,,,hospitalized_with_symptoms,
32,Switzerland,,2020-03-07,che,FR,Fribourg,46.718391,7.074008,,,hospitalized_with_symptoms,
33,Switzerland,,2020-03-07,che,GE,Genève,46.195602,6.148113,,,hospitalized_with_symptoms,
34,Switzerland,,2020-03-07,che,GL,Glarus,47.04057,9.068036,,,hospitalized_with_symptoms,
35,Switzerland,,2020-03-07,che,GR,Graubünden,46.796756,10.305946,,,hospitalized_with_symptoms,
